Ticker,Name,Exchange
^NQFR3000JPY,NASDAQ France Cnsmr Goods JPY I,NIM
^NQCI3HGTR,NASDAQ Commodity 3rd Front HG C,NIM
INCG9.PA,CASAM ETF CG9 INAV,PAR
^NQEMMEA2300GBP,NASDAQ EM MEA Constr & Matls GB,NIM
^NQUSB0573LMT,NQ US  Oil Eqpt & Svcs Large Mi,NIM
SIPTRA.Z,STXETMINT EUR P,ZRH
^WGRESI,Wilshire Global Real Estate Sec,NIM
WORLDS3760.L,FTSE WLD - PERSGOOD,FSI
ENVEU.AS,EN VIGEO EU 120,AMS
^OMXSSCGI,XCSE:OMX Stockholm Small Cap GI,STO
4N58.DE,DAXSEC ALL RET K,GER
IISJP.NX,ISHARES ISJP INAV,ENX
3BLX.DE,INAVISHASPRYUEUR,GER
^NQMEA8700EUR,NASDAQ MEA Financial Svcs EUR I,NIM
19780315.SG,SG GLOB QUALINC USD,STU
TCFIR.Z,STXFITM EUR NR,ZRH
^SVDAXAI,S&P Developed ex-Australia Larg,SNP
ILEMO.PA,LYXOR LEMO,PAR
^NQBR1000LM,NASDAQ Brazil Basic Matls Large,NIM
26777296.SG,LOW VOLATILITY EUR,STU
^SP600-30301010,S&P 600 Household Products (Sub,SNP
^JPMVNR,Ossiam Japan Minimum Variance I,SNP
^NQFR9000N,NASDAQ France Tech NTR Index,NIM
^NQCI3HER,NASDAQ Commodity 3rd Hold Bench,NIM
^BUHGDFT,BBGCopSICHFHdgDT,WCB
^NQDM7000,NASDAQ Developed Utilities Inde,NIM
^NQDMEU5000LMEURT,NASDAQ DM Europe Cnsmr Svcs Lg ,NIM
IERC.NX,LYXOR ERC,ENX
^NQBRIC8000CAD,NASDAQ BRIC Financials CAD Inde,NIM
14953681.SG,YORKMLPPI PR USD,STU
^NQUSM8630,NQ US Md Cap Real Estate Inv & ,NIM
^NQMY1000AUDN,NASDAQ Malaysia Basic Matls AUD,NIM
^CVOLN,Citi volatility index intraday ,WCB
^NQNZCAD,NASDAQ New Zealand CAD Index,NIM
^NQBR2000LMEURN,NASDAQ Brazil Inds Large Mid Ca,NIM
^NQHK2000HKDT,NASDAQ Hong Kong Inds HKD TR In,NIM
SXTRUX1G.Z,STXTRU100% EUR GR,ZRH
^NQKR3000EUR,NASDAQ Korea Cnsmr Goods EUR In,NIM
