Ticker,Name,Exchange
BAM=X,USD/BAM,CCY
EUR-INR.F,EUR/INR,FRA
EURAUD=X,EUR/AUD,CCY
ZARBWP=X,ZAR/BWP,CCY
TRYTHB=X,TRY/THB,CCY
CADBGN=X,CAD/BGN,CCY
BWPARS=X,BWP/ARS,CCY
ILSKES=X,ILS/KES,CCY
KRW=X,USD/KRW,CCY
EUR-BOB.F,EUR/BOB,FRA
NOKZAR=X,NOK/ZAR,CCY
EUR-EGP.F,EUR/EGP,FRA
MURUSD=X,MUR/USD,CCY
CADBZD=X,CAD/BZD,CCY
MYRINR=X,MYR/INR,CCY
ZARAED=X,ZAR/AED,CCY
HKDAUD=X,HKD/AUD,CCY
INROMR=X,INR/OMR,CCY
BWPEGP=X,BWP/EGP,CCY
2219069=X,,
DKKAED=X,DKK/AED,CCY
TNDKES=X,TND/KES,CCY
EUR-MGA.F,EUR/MGA,FRA
MOPHKD=X,MOP/HKD,CCY
QARTRY=X,QAR/TRY,CCY
29134345=X,,
JODGBP=X,JOD/GBP,CCY
EUR-SEK.F,EUR/SEK,FRA
20162407.SW,KUPFER 999/1000    ,EBS
EUR-CVE.F,EUR/CVE,FRA
VUVZWL=X,VUV/ZWL,CCY
THBAUD=X,THB/AUD,CCY
CADCUP=X,CAD/CUP,CCY
BOB=X,USD/BOB,CCY
ZARNZD=X,ZAR/NZD,CCY
EURMKD=X,EUR/MKD,CCY
AUDSGD=X,AUD/SGD,CCY
XCDDKK=X,XCD/DKK,CCY
DOP=X,USD/DOP,CCY
EURLTL=X,EUR/LTL,CCY
TRYHUF=X,TRY/HUF,CCY
CZKBND=X,CZK/BND,CCY
HRKKWD=X,HRK/KWD,CCY
29134336=X,,
XF000EURCHF2.SG,EUR/CHF FIXING,STU
CADPLN=X,CAD/PLN,CCY
CHFITL=X,CHF/ITL,CCY
MURJPY=X,MUR/JPY,CCY
DKKCAD=X,DKK/CAD,CCY
IDEPM.MDD,ELECTR. PEAKLOAD M,MDD
CZKISK=X,CZK/ISK,CCY
CNYQAR=X,CNY/QAR,CCY
HNLGBP=X,HNL/GBP,CCY
AZNGBP=X,AZN/GBP,CCY
GHSCOP=X,GHS/COP,CCY
DKKKRW=X,DKK/KRW,CCY
AEDHKD=X,AED/HKD,CCY
CHFYER=X,CHF/YER,CCY
MXNNOK=X,MXN/NOK,CCY
JPYDKK=X,JPY/DKK,CCY
CNH=X,USD/CNH,CCY
SARTRY=X,SAR/TRY,CCY
CADTTD=X,CAD/TTD,CCY
HNL=X,USD/HNL,CCY
SGDUGX=X,SGD/UGX,CCY
JPYDJF=X,JPY/DJF,CCY
EGPNZD=X,EGP/NZD,CCY
EURGMD=X,EUR/GMD,CCY
SEKSAR=X,SEK/SAR,CCY
MYRDKK=X,MYR/DKK,CCY
EUR-AZN.F,EUR/AZN,FRA
MYRMXN=X,MYR/MXN,CCY
GBPTOP=X,GBP/TOP,CCY
JPYKYD=X,JPY/KYD,CCY
NPRGBP=X,NPR/GBP,CCY
EURRUB=X,EUR/RUB,CCY
CADSLL=X,CAD/SLL,CCY
KGSGBP=X,KGS/GBP,CCY
29134337=X,,
ARSBRL=X,ARS/BRL,CCY
MURMAD=X,MUR/MAD,CCY
GBPALL=X,,CCY
THBZWL=X,THB/ZWL,CCY
CNYTRY=X,CNY/TRY,CCY
GBPGIP=X,GBP/GIP,CCY
RSM.PA,COMMODIT RAPE MEAL,PAR
AEDLKR=X,AED/LKR,CCY
EGPILS=X,EGP/ILS,CCY
INRUGX=X,INR/UGX,CCY
AEDMAD=X,AED/MAD,CCY
MADKRW=X,MAD/KRW,CCY
EUREGP=X,EUR/EGP,CCY
AUDBHD=X,AUD/BHD,CCY
DKKUSD=X,DKK/USD,CCY
ZARHRK=X,ZAR/HRK,CCY
EGPOMR=X,EGP/OMR,CCY
EURCHFFIX=X,,
AEDDKK=X,AED/DKK,CCY
JPYLRD=X,JPY/LRD,CCY
JPYCHF=X,JPY/CHF,CCY
UYUCLP=X,UYU/CLP,CCY
EUR-GBP.F,EUR/GBP,FRA
EURCAD=X,EUR/CAD,CCY
SRDUSD=X,SRD/USD,CCY
HUFEGP=X,HUF/EGP,CCY
SYPDKK=X,SYP/DKK,CCY
GBPNZD=X,GBP/NZD,CCY
KWDCHF=X,KWD/CHF,CCY
MURTRY=X,MUR/TRY,CCY
